DecYear,Lat,BGFlx
"2009.8197"," 16.16","4.17e-08"
"2009.8197"," 17.23","2.66e-07"
"2009.8198"," 14.58","2.87e-07"
"2009.8200"," 14.62","1.31e-07"
"2009.8200"," 14.55","1.05e-06"
"2009.8202"," 14.23","2.60e-07"
"2009.8203"," 14.50","1.37e-06"
"2009.8204"," 14.37","1.00e-06"
"2009.8204"," 14.29","2.25e-07"
"2009.8204"," 14.69","6.42e-08"
"2009.8204"," 14.43","5.68e-07"
"2009.8205"," 14.05","1.13e-07"
"2009.8205"," 14.49","1.44e-07"
"2009.8205"," 14.55","3.02e-08"
"2009.8208"," 17.12","2.90e-08"
"2009.8209"," 14.58","1.00e-07"
"2009.8210"," 14.49","1.17e-07"
"2009.8210"," 14.27","3.69e-07"
"2009.8211"," 14.56","2.71e-08"
"2009.8215"," 17.63","6.59e-07"
"2009.8218"," 18.78","2.90e-08"
"2009.8219"," 17.77","8.44e-08"
"2009.8219"," 17.86","2.34e-07"
"2009.8220"," 17.89","2.29e-06"
"2009.8222"," 15.82","4.06e-08"
"2009.8222"," 15.66","9.75e-08"
"2009.8223"," 17.78","8.66e-08"
"2009.8224"," 15.98","4.81e-08"
"2009.8231"," 15.42","1.66e-07"
"2009.8233"," 15.98","2.15e-08"
"2009.8234"," 17.33","3.61e-08"
"2009.8244"," 15.23","4.77e-08"
"2009.8244"," 17.28","2.16e-08"
"2009.8244"," 14.97","3.79e-08"
"2009.8249"," 13.19","2.99e-08"
"2009.8254"," 16.12","2.20e-08"
"2009.8256"," 16.05","4.37e-08"
"2009.8272"," 16.56","2.61e-08"
"2009.8283"," 17.05","1.07e-08"
"2009.8284"," 15.92","1.29e-08"
"2009.8312"," 17.83","3.12e-07"
"2009.8313"," 16.86","2.92e-08"
"2009.8316"," 17.23","5.98e-08"
"2009.8319"," 17.43","1.19e-07"
"2009.8319"," 17.80","4.35e-08"
"2009.8330"," 21.59","2.42e-07"
"2009.9393"," 20.19","2.26e-07"
"2009.9394"," 20.49","1.02e-07"
"2009.9402"," 20.75","4.69e-08"
"2009.9410"," 20.58","2.08e-07"
"2009.9410"," 21.08","2.89e-08"
"2009.9414"," 20.48","1.10e-07"
"2009.9499"," 20.86","6.19e-08"
"2009.9499"," 20.32","1.07e-07"
"2009.9500"," 20.20","5.74e-08"
"2009.9500"," 20.55","5.38e-08"
"2009.9501"," 20.33","5.51e-08"
"2009.9501"," 20.22","4.57e-08"
"2009.9501"," 20.64","3.92e-08"
"2009.9516"," 30.18","6.30e-08"
"2009.9517"," 30.95","7.52e-08"
"2009.9517"," 30.69","5.99e-08"
"2009.9517"," 31.36","3.73e-08"
"2009.9517"," 31.16","4.42e-08"
"2009.9519"," 31.34","9.03e-08"
"2009.9528"," 29.29","6.78e-08"
"2009.9530"," 29.64","5.70e-08"
"2009.9533"," 30.16","5.22e-08"
"2009.9535"," 29.08","3.47e-08"
"2009.9547"," 28.83","4.50e-08"
"2009.9549"," 29.10","6.87e-08"
"2009.9550"," 28.94","4.42e-08"
"2009.9550"," 28.19","6.77e-08"
"2009.9552"," 28.66","1.27e-07"
"2009.9559"," 29.43","4.77e-08"
"2009.9559"," 29.22","3.44e-08"
"2009.9559"," 28.97","4.26e-08"
"2009.9560"," 28.92","2.72e-08"
"2009.9561"," 30.47","9.97e-08"
"2009.9563"," 30.35","3.73e-07"
"2009.9565"," 29.21","2.74e-07"
"2009.9568"," 27.96","7.34e-08"
"2009.9570"," 28.90","3.14e-08"
"2009.9570"," 29.83","2.03e-07"
"2009.9571"," 27.51","1.04e-06"
"2009.9573"," 30.04","3.14e-08"
"2009.9573"," 30.40","3.47e-08"
"2009.9574"," 29.77","6.74e-07"
"2009.9574"," 29.42","5.16e-08"
"2009.9575"," 29.71","2.00e-08"
"2009.9575"," 29.44","4.84e-08"
"2009.9575"," 30.26","1.33e-08"
"2009.9576"," 29.64","3.17e-06"
"2009.9579"," 30.71","1.19e-07"
"2009.9579"," 29.94","1.14e-07"
"2009.9579"," 31.50","3.12e-08"
"2009.9581"," 32.01","8.42e-08"
"2009.9581"," 30.56","5.27e-08"
"2009.9581"," 30.05","7.30e-08"
"2009.9590"," 30.86","3.29e-08"
"2009.9591"," 30.90","4.29e-08"
"2009.9591"," 31.01","5.35e-08"
"2009.9591"," 31.28","2.22e-08"
"2009.9592"," 31.48","9.70e-08"
"2009.9592"," 29.58","2.05e-08"
"2009.9592"," 30.51","9.24e-08"
"2009.9592"," 31.58","2.74e-08"
"2009.9595"," 24.82","3.00e-08"
"2009.9595"," 30.40","7.07e-08"
"2009.9595"," 31.79","1.32e-07"
"2009.9597"," 29.32","2.10e-07"
"2009.9598"," 31.51","6.90e-08"
"2009.9598"," 31.32","9.42e-08"
"2009.9598"," 29.48","4.76e-08"
"2009.9599"," 29.89","2.63e-08"
"2009.9599"," 29.55","3.82e-08"
"2009.9600"," 31.46","3.24e-08"
"2009.9601"," 29.78","5.91e-08"
"2009.9601"," 30.91","3.59e-08"
"2009.9603"," 28.79","3.17e-07"
"2009.9605"," 30.68","5.05e-08"
"2009.9606"," 29.20","4.50e-08"
"2009.9606"," 15.90","7.50e-08"
"2009.9606"," 29.61","3.24e-07"
"2009.9606"," 28.85","4.73e-07"
"2009.9607"," 31.78","4.17e-08"
"2009.9608"," 29.08","9.16e-08"
"2009.9612"," 30.95","3.44e-08"
"2009.9613"," 30.44","1.09e-07"
"2009.9618"," 29.06","3.35e-08"
"2009.9619"," 31.90","3.87e-08"
"2009.9619"," 30.63","4.59e-07"
"2009.9629"," 28.93","1.24e-07"
"2009.9629"," 28.82","7.42e-08"
"2009.9635"," 29.13","2.45e-07"
"2009.9635"," 28.82","1.74e-07"
